date,R
3/1/2020,2.64
3/2/2020,2.25
3/3/2020,2.39
3/4/2020,2.44
3/5/2020,2.36
3/6/2020,2.63
3/7/2020,2.18
3/8/2020,2.26
3/9/2020,2.31
3/10/2020,2.28
3/11/2020,2.36
3/12/2020,2.39
3/13/2020,2.32
3/14/2020,2.25
3/15/2020,2.13
3/16/2020,2.08
3/17/2020,1.96
3/18/2020,1.85
3/19/2020,1.74
3/20/2020,1.6
3/21/2020,1.52
3/22/2020,1.46
3/23/2020,1.38
3/24/2020,1.34
3/25/2020,1.25
3/26/2020,1.2
3/27/2020,1.13
3/28/2020,0.99
3/29/2020,0.89
3/30/2020,0.8
3/31/2020,0.77
4/1/2020,0.78
4/2/2020,0.82
4/3/2020,0.86
4/4/2020,0.89
4/5/2020,0.91
4/6/2020,0.91
4/7/2020,0.91
4/8/2020,0.9
4/9/2020,0.83
4/10/2020,0.81
4/11/2020,0.8
4/12/2020,0.8
4/13/2020,0.83
4/14/2020,0.84
4/15/2020,0.81
4/16/2020,0.74
4/17/2020,0.69
4/18/2020,0.68
4/19/2020,0.64
4/20/2020,0.63
4/21/2020,0.61
4/22/2020,0.59
4/23/2020,0.57
4/24/2020,0.56
4/25/2020,0.5
4/26/2020,0.55
4/27/2020,0.54
4/28/2020,0.5
4/29/2020,0.49
4/30/2020,0.54
5/1/2020,0.58
5/2/2020,0.61
5/3/2020,0.63
5/4/2020,0.6
5/5/2020,0.58
5/6/2020,0.56
5/7/2020,0.57
5/8/2020,0.62
5/9/2020,0.68
5/10/2020,0.64
5/11/2020,0.68
5/12/2020,0.77
5/13/2020,0.78
5/14/2020,0.81
5/15/2020,0.83
5/16/2020,1.1
5/17/2020,1.26
5/18/2020,1.54
5/19/2020,1.84
5/20/2020,1.89
5/21/2020,2.02
5/22/2020,2.08
5/23/2020,1.93
5/24/2020,1.86
5/25/2020,1.7
5/26/2020,1.46
5/27/2020,1.48
5/28/2020,1.43
5/29/2020,1.42
5/30/2020,1.36
5/31/2020,1.44
6/1/2020,1.38
6/2/2020,1.34
6/3/2020,1.36
6/4/2020,1.28
6/5/2020,1.22
6/6/2020,1.26
6/7/2020,1.2
6/8/2020,1.23
6/9/2020,1.26
